id,term,definition,translation,category,level,timestamp
1,Algorithm,Пошаговая процедура решения задачи,Алгоритм,Основные концепции,High,2025-11-25 09:17:30
3,Data Structure,Способ организации и хранения данных,Структура данных,Основные концепции,High,2025-11-25 09:21:57
4,Variable,Именованная область памяти для хранения данных,Переменная,Основные концепции,High,2025-11-25 09:21:57
"5,Function,""Блок кода, выполняющий конкретную задачу"",Функция,Основные концепции,High,2025-11-25 09:21:57"
6,Class,Шаблон для создания объектов в ООП,Класс,Основные концепции,High,2025-11-25 09:21:57
"7,Object,""Экземпляр класса, содержащий данные и методы"",Объект,Основные концепции,High,2025-11-25 09:21:57"
8,API,Интерфейс для взаимодействия между программами,API (интерфейс прикладного программирования),Основные концепции,High,2025-11-25 09:21:57
9,Framework,Набор инструментов и библиотек для разработки,Фреймворк,Основные концепции,High,2025-11-25 09:21:57
10,Library,Коллекция готовых функций и классов,Библиотека,Основные концепции,High,2025-11-25 09:21:57
11,Syntax,Правила написания кода в языке программирования,Синтаксис,Основные концепции,High,2025-11-25 09:21:57
12,Constant,Неизменяемая именованная величина,Константа,Основные концепции,High,2025-11-25 09:21:57
"13,Method,""Функция, принадлежащая объекту или классу"",Метод,Основные концепции,High,2025-11-25 09:21:57"
14,Parameter,Переменная в объявлении функции,Параметр,Основные концепции,High,2025-11-25 09:21:57
"15,Argument,""Фактическое значение, передаваемое в функцию"",Аргумент,Основные концепции,High,2025-11-25 09:21:57"
"16,Return Value,""Результат, возвращаемый функцией"",Возвращаемое значение,Основные концепции,High,2025-11-25 09:21:57"
17,Instance,Конкретный объект класса,Экземпляр,Основные концепции,High,2025-11-25 09:21:57
18,Constructor,Метод для инициализации объекта,Конструктор,Основные концепции,High,2025-11-25 09:21:57
19,Destructor,Метод для очистки ресурсов объекта,Деструктор,Основные концепции,Medium,2025-11-25 09:21:57
"20,Interface,""Контракт, определяющий поведение класса"",Интерфейс,Основные концепции,High,2025-11-25 09:21:57"
"21,Abstract Class,""Класс, который нельзя инстанциировать напрямую"",Абстрактный класс,Основные концепции,High,2025-11-25 09:21:57"
22,Inheritance,Механизм наследования свойств и методов,Наследование,Основные концепции,High,2025-11-25 09:21:57
23,Polymorphism,Способность объектов иметь разные формы,Полиморфизм,Основные концепции,High,2025-11-25 09:21:57
24,Encapsulation,Сокрытие внутренней реализации,Инкапсуляция,Основные концепции,High,2025-11-25 09:21:57
25,Abstraction,Упрощение сложных систем,Абстракция,Основные концепции,High,2025-11-25 09:21:57
26,Module,Отдельный файл с кодом,Модуль,Основные концепции,High,2025-11-25 09:21:57
27,Package,Коллекция модулей,Пакет,Основные концепции,High,2025-11-25 09:21:57
28,Namespace,Контейнер для группировки связанных элементов,Пространство имен,Основные концепции,High,2025-11-25 09:21:57
29,Scope,Область видимости переменной,Область видимости,Основные концепции,High,2025-11-25 09:21:57
"30,Global Variable,""Переменная, доступная во всей программе"",Глобальная переменная,Основные концепции,Medium,2025-11-25 09:21:57"
"31,Local Variable,""Переменная, доступная только в пределах блока"",Локальная переменная,Основные концепции,High,2025-11-25 09:21:57"
32,Compilation,Процесс преобразования исходного кода в машинный код,Компиляция,Основные концепции,High,2025-11-25 09:21:57
33,Interpretation,Построчное выполнение исходного кода,Интерпретация,Основные концепции,High,2025-11-25 09:21:57
34,JIT Compilation,Компиляция во время выполнения,JIT-компиляция,Основные концепции,Medium,2025-11-25 09:21:57
35,Bytecode,Промежуточный код для виртуальной машины,Байт-код,Основные концепции,Medium,2025-11-25 09:21:57
"36,Recursion,""Функция, вызывающая саму себя"",Рекурсия,Основные концепции,Medium,2025-11-25 09:21:57"
37,Iteration,Повторение блока кода,Итерация,Основные концепции,High,2025-11-25 09:21:57
38,Loop,Конструкция для многократного выполнения кода,Цикл,Основные концепции,High,2025-11-25 09:21:57
39,Conditional,Конструкция для принятия решений,Условное выражение,Основные концепции,High,2025-11-25 09:21:57
"40,Data Type,""Категория данных, определяющая возможные операции"",Тип данных,Типы данных,High,2025-11-25 09:21:57"
41,Primitive Type,Базовый тип данных языка,Примитивный тип,Типы данных,High,2025-11-25 09:21:57
"42,Reference Type,""Тип, хранящий ссылку на данные"",Ссылочный тип,Типы данных,High,2025-11-25 09:21:57"
43,Integer,Целочисленный тип данных,Целое число,Типы данных,High,2025-11-25 09:21:57
44,Float,Число с плавающей точкой,Вещественное число,Типы данных,High,2025-11-25 09:21:57
45,Double,Число с двойной точностью,Число двойной точности,Типы данных,High,2025-11-25 09:21:57
46,Boolean,Логический тип (true/false),Булев тип,Типы данных,High,2025-11-25 09:21:57
47,String,Строковый тип данных,Строка,Типы данных,High,2025-11-25 09:21:57
48,Character,Символьный тип,Символ,Типы данных,High,2025-11-25 09:21:57
49,Array,Коллекция элементов одного типа,Массив,Типы данных,High,2025-11-25 09:21:57
50,List,Динамическая коллекция элементов,Список,Типы данных,High,2025-11-25 09:21:57
51,Tuple,Неизменяемая коллекция элементов,Кортеж,Типы данных,Medium,2025-11-25 09:21:57
52,Dictionary,Коллекция пар ключ-значение,Словарь,Типы данных,High,2025-11-25 09:21:57
53,Set,Коллекция уникальных элементов,Множество,Типы данных,Medium,2025-11-25 09:21:57
54,Enum,Перечисляемый тип,Перечисление,Типы данных,Medium,2025-11-25 09:21:57
"55,Pointer,""Переменная, хранящая адрес памяти"",Указатель,Типы данных,Medium,2025-11-25 09:21:57"
56,Null,Отсутствие значения,Null,Типы данных,High,2025-11-25 09:21:57
57,Undefined,Неопределенное значение,Неопределено,Типы данных,High,2025-11-25 09:21:57
"58,Linked List,""Структура данных из узлов, связанных ссылками"",Связный список,Структуры данных,Medium,2025-11-25 09:21:57"
59,Stack,Структура LIFO (последним пришел - первым ушел),Стек,Структуры данных,High,2025-11-25 09:21:57
60,Queue,Структура FIFO (первым пришел - первым ушел),Очередь,Структуры данных,High,2025-11-25 09:21:57
61,Deque,Двусторонняя очередь,Дек,Структуры данных,Medium,2025-11-25 09:21:57
62,Tree,Иерархическая структура данных,Дерево,Структуры данных,Medium,2025-11-25 09:21:57
"63,Binary Tree,""Дерево, где каждый узел имеет не более двух потомков"",Бинарное дерево,Структуры данных,Medium,2025-11-25 09:21:57"
64,Binary Search Tree,Бинарное дерево с упорядоченными значениями,Бинарное дерево поиска,Структуры данных,Medium,2025-11-25 09:21:57
65,Graph,Набор вершин и ребер,Граф,Структуры данных,Medium,2025-11-25 09:21:57
66,Hash Table,Структура для быстрого доступа по ключу,Хеш-таблица,Структуры данных,High,2025-11-25 09:21:57
67,Heap,Древовидная структура для реализации очереди с приоритетом,Куча,Структуры данных,Medium,2025-11-25 09:21:57
68,Trie,Дерево для хранения строк,Префиксное дерево,Структуры данных,Low,2025-11-25 09:21:57
69,Bloom Filter,Вероятностная структура для проверки принадлежности,Фильтр Блума,Структуры данных,Low,2025-11-25 09:21:57
70,SQL,Язык для работы с реляционными базами данных,SQL (язык структурированных запросов),Базы данных,High,2025-11-25 09:21:57
71,NoSQL,Нереляционные базы данных,NoSQL базы данных,Базы данных,Medium,2025-11-25 09:21:57
72,RDBMS,Система управления реляционными базами данных,СУБД,Базы данных,High,2025-11-25 09:21:57
73,Database Schema,Структура базы данных,Схема базы данных,Базы данных,Medium,2025-11-25 09:21:57
74,Table,Структура для хранения данных в строках и столбцах,Таблица,Базы данных,High,2025-11-25 09:21:57
"75,Column,""Вертикальная структура таблицы, представляющая атрибут"",Столбец,Базы данных,High,2025-11-25 09:21:57"
"76,Row,""Горизонтальная структура таблицы, представляющая запись"",Строка,Базы данных,High,2025-11-25 09:21:57"
77,Record,Отдельная запись в таблице,Запись,Базы данных,High,2025-11-25 09:21:57
78,Field,Отдельный элемент данных в записи,Поле,Базы данных,High,2025-11-25 09:21:57
79,Primary Key,Уникальный идентификатор записи в таблице,Первичный ключ,Базы данных,High,2025-11-25 09:21:57
"80,Foreign Key,""Ключ, связывающий таблицы"",Внешний ключ,Базы данных,High,2025-11-25 09:21:57"
81,Composite Key,Ключ из нескольких столбцов,Составной ключ,Базы данных,Medium,2025-11-25 09:21:57
82,Index,Структура для ускорения поиска в БД,Индекс,Базы данных,High,2025-11-25 09:21:57
83,Constraint,Ограничение для данных в таблице,Ограничение,Базы данных,High,2025-11-25 09:21:57
84,Transaction,Атомарная операция в БД,Транзакция,Базы данных,High,2025-11-25 09:21:57
"85,ACID,""Требования к транзакциям: Atomicity, Consistency, Isolation, Durability"",ACID,Базы данных,High,2025-11-25 09:21:57"
86,Normalization,Процесс организации данных в БД,Нормализация,Базы данных,Medium,2025-11-25 09:21:57
87,Denormalization,Намеренное дублирование данных для производительности,Денормализация,Базы данных,Medium,2025-11-25 09:21:57
88,ORM,Технология связи БД с ООП,ORM (объектно-реляционное отображение),Базы данных,High,2025-11-25 09:21:57
89,Entity,Объект предметной области,Сущность,Базы данных,High,2025-11-25 09:21:57
90,Relationship,Связь между сущностями,Отношение,Базы данных,High,2025-11-25 09:21:57
91,SELECT,Оператор выборки данных,SELECT,SQL,High,2025-11-25 09:21:57
92,INSERT,Оператор вставки данных,INSERT,SQL,High,2025-11-25 09:21:57
93,UPDATE,Оператор обновления данных,UPDATE,SQL,High,2025-11-25 09:21:57
94,DELETE,Оператор удаления данных,DELETE,SQL,High,2025-11-25 09:21:57
95,WHERE,Условие для фильтрации данных,WHERE,SQL,High,2025-11-25 09:21:57
96,JOIN,Объединение таблиц,JOIN,SQL,High,2025-11-25 09:21:57
97,INNER JOIN,Внутреннее соединение таблиц,INNER JOIN,SQL,High,2025-11-25 09:21:57
98,LEFT JOIN,Левое внешнее соединение,LEFT JOIN,SQL,High,2025-11-25 09:21:57
99,RIGHT JOIN,Правое внешнее соединение,RIGHT JOIN,SQL,Medium,2025-11-25 09:21:57
100,FULL JOIN,Полное внешнее соединение,FULL JOIN,SQL,Medium,2025-11-25 09:21:57
101,GROUP BY,Группировка данных,GROUP BY,SQL,High,2025-11-25 09:21:57
102,HAVING,Условие для сгруппированных данных,HAVING,SQL,Medium,2025-11-25 09:21:57
103,ORDER BY,Сортировка результатов,ORDER BY,SQL,High,2025-11-25 09:21:57
104,DISTINCT,Уникальные значения,DISTINCT,SQL,High,2025-11-25 09:21:57
105,LIMIT,Ограничение количества результатов,LIMIT,SQL,High,2025-11-25 09:21:57
106,OFFSET,Пропуск строк в результатах,OFFSET,SQL,Medium,2025-11-25 09:21:57
107,UNION,Объединение результатов запросов,UNION,SQL,Medium,2025-11-25 09:21:57
108,VIEW,Виртуальная таблица,Представление,SQL,Medium,2025-11-25 09:21:57
109,STORED PROCEDURE,Сохраненная процедура в БД,Хранимая процедура,SQL,Medium,2025-11-25 09:21:57
110,TRIGGER,Автоматически выполняемый код при событиях,Триггер,SQL,Medium,2025-11-25 09:21:57
111,FUNCTION,Функция в SQL,Функция,SQL,Medium,2025-11-25 09:21:57
112,REST,Архитектурный стиль для веб-сервисов,REST (передача состояния представления),Веб-разработка,High,2025-11-25 09:21:57
"113,RESTful,""Сервис, соответствующий принципам REST"",RESTful сервис,Веб-разработка,High,2025-11-25 09:21:57"
114,JSON,Формат обмена данными,JSON (JavaScript Object Notation),Веб-разработка,High,2025-11-25 09:21:57
115,XML,Расширяемый язык разметки,XML,Веб-разработка,Medium,2025-11-25 09:21:57
116,YAML,Человеко-читаемый формат данных,YAML,Веб-разработка,Medium,2025-11-25 09:21:57
117,HTTP,Протокол передачи гипертекста,HTTP,Веб-разработка,High,2025-11-25 09:21:57
118,HTTPS,Безопасная версия HTTP,HTTPS,Веб-разработка,High,2025-11-25 09:21:57
119,API Endpoint,URL для доступа к конкретной функции API,Конечная точка API,Веб-разработка,High,2025-11-25 09:21:57
120,DOM,Объектная модель документа,DOM,Веб-разработка,High,2025-11-25 09:21:57
121,CORS,Механизм безопасности для кросс-доменных запросов,CORS,Веб-разработка,Medium,2025-11-25 09:21:57
122,WebSocket,Протокол для двусторонней связи между клиентом и сервером,WebSocket,Веб-разработка,Medium,2025-11-25 09:21:57
"123,Cookie,""Небольшие данные, хранимые браузером"",Куки,Веб-разработка,High,2025-11-25 09:21:57"
124,Session,Сессия пользователя на сервере,Сессия,Веб-разработка,High,2025-11-25 09:21:57
125,Token,Токен для аутентификации,Токен,Веб-разработка,High,2025-11-25 09:21:57
126,JWT,JSON Web Token - стандарт для токенов,JWT,Веб-разработка,Medium,2025-11-25 09:21:57
127,OAuth,Протокол авторизации,OAuth,Веб-разработка,Medium,2025-11-25 09:21:57
128,Single Page Application,Веб-приложение с одной страницей,Одностраничное приложение,Веб-разработка,High,2025-11-25 09:21:57
129,Progressive Web App,Веб-приложение с функциями нативных приложений,Прогрессивное веб-приложение,Веб-разработка,Medium,2025-11-25 09:21:57
130,Responsive Design,Адаптивный дизайн для разных устройств,Адаптивный дизайн,Веб-разработка,High,2025-11-25 09:21:57
131,UI,Пользовательский интерфейс,Пользовательский интерфейс,Веб-разработка,High,2025-11-25 09:21:57
132,UX,Пользовательский опыт,Пользовательский опыт,Веб-разработка,Medium,2025-11-25 09:21:57
133,DNS,Система доменных имен,DNS,Сетевые технологии,High,2025-11-25 09:21:57
134,TCP/IP,Стек сетевых протоколов,TCP/IP,Сетевые технологии,Medium,2025-11-25 09:21:57
135,UDP,Протокол пользовательских датаграмм,UDP,Сетевые технологии,Medium,2025-11-25 09:21:57
136,HTTP Status Code,Код состояния HTTP ответа,HTTP код состояния,Сетевые технологии,High,2025-11-25 09:21:57
137,Firewall,Система сетевой безопасности,Фаервол,Сетевые технологии,Medium,2025-11-25 09:21:57
138,CDN,Сеть доставки контента,CDN,Сетевые технологии,Medium,2025-11-25 09:21:57
139,Load Balancing,Распределение сетевой нагрузки,Балансировка нагрузки,Сетевые технологии,Medium,2025-11-25 09:21:57
140,VPN,Виртуальная частная сеть,VPN,Сетевые технологии,Medium,2025-11-25 09:21:57
141,SSL/TLS,Протоколы шифрования соединения,SSL/TLS,Сетевые технологии,High,2025-11-25 09:21:57
142,Certificate,Цифровой сертификат безопасности,Сертификат,Сетевые технологии,Medium,2025-11-25 09:21:57
143,Domain,Доменное имя сайта,Домен,Сетевые технологии,High,2025-11-25 09:21:57
144,Subdomain,Поддомен основного домена,Поддомен,Сетевые технологии,Medium,2025-11-25 09:21:57
145,IP Address,Уникальный адрес устройства в сети,IP-адрес,Сетевые технологии,High,2025-11-25 09:21:57
146,Port,Виртуальный endpoint для сетевых соединений,Порт,Сетевые технологии,High,2025-11-25 09:21:57
147,Proxy,Промежуточный сервер,Прокси,Сетевые технологии,Medium,2025-11-25 09:21:57
148,Gateway,Шлюз между сетями,Шлюз,Сетевые технологии,Medium,2025-11-25 09:21:57
149,Router,Маршрутизатор сетевых пакетов,Маршрутизатор,Сетевые технологии,Medium,2025-11-25 09:21:57
150,Switch,Коммутатор сети,Коммутатор,Сетевые технологии,Low,2025-11-25 09:21:57
151,Latency,Время задержки при передаче данных,Задержка,Сетевые технологии,Medium,2025-11-25 09:21:57
152,Bandwidth,Пропускная способность сети,Пропускная способность,Сетевые технологии,Medium,2025-11-25 09:21:57
153,GET,Получение ресурса,GET,HTTP,High,2025-11-25 09:21:57
154,POST,Создание ресурса,POST,HTTP,High,2025-11-25 09:21:57
155,PUT,Полное обновление ресурса,PUT,HTTP,High,2025-11-25 09:21:57
156,PATCH,Частичное обновление ресурса,PATCH,HTTP,Medium,2025-11-25 09:21:57
158,HEAD,Получение заголовков ресурса,HEAD,HTTP,Low,2025-11-25 09:21:57
159,OPTIONS,Получение поддерживаемых методов,OPTIONS,HTTP,Low,2025-11-25 09:21:57
160,CI/CD,Непрерывная интеграция и доставка,CI/CD,DevOps & Инфраструктура,High,2025-11-25 09:21:57
161,Docker,Платформа для контейнеризации,Docker,DevOps & Инфраструктура,High,2025-11-25 09:21:57
162,Kubernetes,Оркестратор контейнеров,Kubernetes,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
163,Git,Система контроля версий,Git,DevOps & Инфраструктура,High,2025-11-25 09:21:57
164,SSH,Безопасный удаленный доступ,SSH (безопасная оболочка),DevOps & Инфраструктура,High,2025-11-25 09:21:57
165,Virtualization,Создание виртуальных версий ресурсов,Виртуализация,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
166,Infrastructure as Code,Управление инфраструктурой через код,Инфраструктура как код,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
167,Monitoring,Наблюдение за работой системы,Мониторинг,DevOps & Инфраструктура,High,2025-11-25 09:21:57
168,Logging,Запись логов приложения,Логирование,DevOps & Инфраструктура,High,2025-11-25 09:21:57
169,Container,Изолированная среда для приложения,Контейнер,DevOps & Инфраструктура,High,2025-11-25 09:21:57
170,Image,Шаблон для создания контейнеров,Образ,DevOps & Инфраструктура,High,2025-11-25 09:21:57
171,Orchestration,Автоматическое управление контейнерами,Оркестрация,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
172,MicroVM,Легковесная виртуальная машина,Микровиртуальная машина,DevOps & Инфраструктура,Low,2025-11-25 09:21:57
173,Serverless,Архитектура без управления серверами,Бессерверная архитектура,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
174,FaaS,Функция как услуга,FaaS,DevOps & Инфраструктура,Medium,2025-11-25 09:21:57
175,Repository,Хранилище кода,Репозиторий,Git,High,2025-11-25 09:21:57
176,Commit,Фиксация изменений в репозитории,Коммит,Git,High,2025-11-25 09:21:57
177,Branch,Ветка разработки,Ветка,Git,High,2025-11-25 09:21:57
178,Merge,Слияние веток,Слияние,Git,High,2025-11-25 09:21:57
179,Rebase,Перебазирование коммитов,Перебазирование,Git,Medium,2025-11-25 09:21:57
180,Clone,Клонирование репозитория,Клонирование,Git,High,2025-11-25 09:21:57
181,Fork,Ответвление репозитория,Форк,Git,High,2025-11-25 09:21:57
182,Pull Request,Запрос на слияние изменений,Пул реквест,Git,High,2025-11-25 09:21:57
183,Conflict,Конфликт при слиянии,Конфликт,Git,High,2025-11-25 09:21:57
184,Staging,Область подготовленных изменений,Область подготовки,Git,High,2025-11-25 09:21:57
186,Tag,Метка для версии,Тег,Git,Medium,2025-11-25 09:21:57
187,Agile,Гибкая методология разработки,Agile,Процессы разработки,High,2025-11-25 09:21:57
188,Scrum,Фреймворк для Agile,Scrum,Процессы разработки,Medium,2025-11-25 09:21:57
189,Sprint,Итерация в Scrum,Спринт,Процессы разработки,Medium,2025-11-25 09:21:57
190,MVP,Минимально жизнеспособный продукт,MVP,Процессы разработки,High,2025-11-25 09:21:57
191,Backlog,Список задач для реализации,Бэклог,Процессы разработки,Medium,2025-11-25 09:21:57
192,Kanban,Метод управления разработкой,Канбан,Процессы разработки,Medium,2025-11-25 09:21:57
193,Code Review,Проверка кода другими разработчиками,Ревью кода,Процессы разработки,High,2025-11-25 09:21:57
194,Pair Programming,Программирование в паре,Парное программирование,Процессы разработки,Medium,2025-11-25 09:21:57
195,Standup,Ежедневная встреча команды,Стендап,Процессы разработки,Medium,2025-11-25 09:21:57
196,Retrospective,Анализ прошедшего спринта,Ретроспектива,Процессы разработки,Medium,2025-11-25 09:21:57
197,User Story,Требование с точки зрения пользователя,Пользовательская история,Процессы разработки,Medium,2025-11-25 09:21:57
"198,Epic,""Крупная функциональность, состоящая из историй"",Эпик,Процессы разработки,Medium,2025-11-25 09:21:57"
199,Task,Конкретная задача для разработки,Задача,Процессы разработки,High,2025-11-25 09:21:57
200,Bug,Ошибка в программе,Баг,Процессы разработки,High,2025-11-25 09:21:57
201,Feature,Функциональность продукта,Функция,Процессы разработки,High,2025-11-25 09:21:57
202,Release,Выпуск версии продукта,Релиз,Процессы разработки,High,2025-11-25 09:21:57
203,Deployment,Развертывание приложения,Деплоймент,Процессы разработки,High,2025-11-25 09:21:57
204,Rollback,Откат к предыдущей версии,Откат,Процессы разработки,Medium,2025-11-25 09:21:57
205,MVC,Модель-Представление-Контроллер,MVC (архитектурный шаблон),Архитектура,High,2025-11-25 09:21:57
206,Microservices,Архитектура на основе микросервисов,Микросервисы,Архитектура,High,2025-11-25 09:21:57
207,Monolith,Единое приложение,Монолит,Архитектура,Medium,2025-11-25 09:21:57
208,API Gateway,Единая точка входа для API,API шлюз,Архитектура,Medium,2025-11-25 09:21:57
209,Load Balancer,Распределение нагрузки между серверами,Балансировщик нагрузки,Архитектура,Medium,2025-11-25 09:21:57
"210,Event-Driven Architecture,""Архитектура, реагирующая на события"",Событийно-ориентированная архитектура,Архитектура,Medium,2025-11-25 09:21:57"
211,Service Mesh,Инфраструктурный слой для микросервисов,Сервисная сетка,Архитектура,Low,2025-11-25 09:21:57
212,CQRS,Разделение команд и запросов,CQRS,Архитектура,Low,2025-11-25 09:21:57
213,Event Sourcing,Хранение событий вместо состояния,Хранение событий,Архитектура,Low,2025-11-25 09:21:57
214,Hexagonal Architecture,Порты и адаптеры архитектуры,Гексагональная архитектура,Архитектура,Low,2025-11-25 09:21:57
215,Clean Architecture,Чистая архитектура Роберта Мартина,Чистая архитектура,Архитектура,Medium,2025-11-25 09:21:57
216,DDD,Предметно-ориентированное проектирование,DDD,Архитектура,Medium,2025-11-25 09:21:57
217,SOA,Сервис-ориентированная архитектура,SOA,Архитектура,Medium,2025-11-25 09:21:57
218,N-Tier,Многоуровневая архитектура,Многоуровневая архитектура,Архитектура,Medium,2025-11-25 09:21:57
219,Authentication,Процесс проверки подлинности,Аутентификация,Безопасность,High,2025-11-25 09:21:57
220,Authorization,Определение прав доступа,Авторизация,Безопасность,High,2025-11-25 09:21:57
221,Encryption,Преобразование данных в защищенную форму,Шифрование,Безопасность,High,2025-11-25 09:21:57
222,SQL Injection,Атака внедрения SQL кода,SQL инъекция,Безопасность,High,2025-11-25 09:21:57
223,XSS,Межсайтовый скриптинг,XSS,Безопасность,Medium,2025-11-25 09:21:57
224,CSRF,Межсайтовая подделка запроса,CSRF,Безопасность,Medium,2025-11-25 09:21:57
227,SAML,Протокол единого входа,SAML,Безопасность,Low,2025-11-25 09:21:57
228,2FA,Двухфакторная аутентификация,Двухфакторная аутентификация,Безопасность,Medium,2025-11-25 09:21:57
229,MFA,Многофакторная аутентификация,Многофакторная аутентификация,Безопасность,Medium,2025-11-25 09:21:57
230,Hashing,Преобразование данных в уникальную строку,Хеширование,Безопасность,High,2025-11-25 09:21:57
231,Salt,Случайные данные для усиления хеширования,Соль,Безопасность,Medium,2025-11-25 09:21:57
232,Penetration Testing,Тестирование на проникновение,Тестирование на проникновение,Безопасность,Low,2025-11-25 09:21:57
233,Vulnerability,Уязвимость системы,Уязвимость,Безопасность,High,2025-11-25 09:21:57
234,Zero Trust,Архитектура безопасности без доверия,Нулевое доверие,Безопасность,Low,2025-11-25 09:21:57
235,Unit Test,Тестирование отдельных компонентов,Модульное тестирование,Тестирование,High,2025-11-25 09:21:57
236,Integration Test,Тестирование взаимодействия компонентов,Интеграционное тестирование,Тестирование,Medium,2025-11-25 09:21:57
237,Regression Test,Проверка на регрессию,Регрессионное тестирование,Тестирование,Medium,2025-11-25 09:21:57
238,QA,Обеспечение качества,Контроль качества,Тестирование,High,2025-11-25 09:21:57
